A00;Colera
R78;Presenza nel sangue di farmaci ed altre sostanze normalmente assenti
R79;Altri risultati anormali di esami chimici del sangue
R80;Proteinuria isolata
R81;Glicosuria
R82;Altri risultati anormali di esame dell’urina
R83;Risultato anormale di esame del liquido cerebrospinale
R84;Risultati anormali di prelievo di campioni effettuato da organi delle vie respiratorie e dal torace
R85;Risultati anormali di prelievo di campioni effettuato da organi dell'apparato digerente e della cavità addominale
R86;Risultati anormali di prelievo di campioni effettuato da organi genitali maschili
R87;Risultati anormali di prelievo di campioni effettuato da organi genitali femminili
R89;Risultati anormali di prelievo di campioni effettuato da altri organi apparati e tessuti
R90;Risultati anormali di diagnostica per immagini del sistema nervoso centrale
R91;Risultati anormali di diagnostica per immagini del polmone
R92;Risultati anormali di diagnostica per immagini della mammella
R93;Risultati anormali di diagnostica per immagini di altre parti del corpo
R94;Risultati anormali di esami per studi di funzionalità
R95;Sindrome della morte improvvisa nell’infanzia
R96;Altra morte improvvisa da causa sconosciuta
R98;Morte senza assistenza
R99;Altre cause di mortalità mal definite o non specificate
S00;Traumatismo superficiale della testa
S01;Ferita aperta della testa
S02;Frattura del cranio e di ossa facciali
S03;Lussazione distorsione e distrazione di articolazioni e di legamenti della testa
S04;Traumatismo di nervi cranici
S05;Traumatismo dell'occhio e dell'orbita
S06;Traumatismo intracranico
S07;Traumatismo da schiacciamento della testa
S08;Amputazione traumatica di parte della testa
S09;Altri e non specificati traumatismi della testa
S10;Traumatismo superficiale del collo
S11;Ferita aperta del collo
S12;Frattura del collo
S13;Lussazione distorsione e distrazione di articolazioni e di legamenti a livello del collo
S14;Traumatismo di nervi e del midollo spinale a livello del collo
S15;Traumatismo di vasi sanguigni a livello del collo
S16;Traumatismo di muscoli e di tendini a livello del collo
S17;Traumatismo da schiacciamento del collo
S18;Amputazione traumatica a livello del collo
S19;Altri e non specificati traumatismi del collo
S20;Traumatismo superficiale del torace
S21;Ferita aperta del torace
S22;Frattura di costola(e) sterno e colonna toracica
S23;Lussazione distorsione e distrazione di articolazioni e di legamenti del torace
S24;Traumatismo di nervi e del midollo spinale a livello del torace
S25;Traumatismo di vasi sanguigni del torace
S26;Traumatismo del cuore
S27;Traumatismi di altri e non specificati organi intratoracici
S28;Traumatismo da schiacciamento del torace e amputazione traumatica di parte del torace
S29;Altri e non specificati traumatismi del torace
S30;Traumatismo superficiale dell'addome dei lombi e della pelvi
S31;Ferita aperta dell'addome dei lombi e della pelvi
S32;Frattura della colonna lombare e della pelvi
S33;Lussazione distorsione e distrazione di articolazioni e di legamenti della colonna vertebrale lombare e della pelvi
S34;Traumatismo di nervi e del midollo spinale a livello dell'addome dei lombi e della pelvi
S35;Traumatismo di vasi sanguigni a livello dell'addome dei lombi e della pelvi
S36;Traumatismo di organi intraaddominali
S37;Traumatismo di organi urinari e pelvici
S38;Traumatismo da schiacciamento ed amputazione traumatica di parte dell'addome dei lombi e della pelvi
S39;Altri e non specificati traumatismi dell'addome dei lombi e della pelvi
S40;Traumatismo superficiale della spalla e del braccio
S41;Ferita aperta della spalla e del braccio
S42;Frattura della spalla e del braccio
S43;Lussazione distorsione e distrazione di articolazioni e di legamenti del cingolo scapolo-omerale
S44;Traumatismo di nervi a livello della spalla e del braccio
S45;Traumatismo di vasi sanguigni a livello della spalla e del braccio
S46;Traumatismo di muscoli e di tendini a livello della spalla e del braccio
S47;Traumatismi da schiacciamento della spalla e del braccio
S48;Amputazione traumatica della spalla e del braccio
S49;Altri e non specificati traumatismi della spalla e del braccio
S50;Traumatismo superficiale dell'avambraccio
S51;Ferita aperta dell'avambraccio
S52;Frattura dell'avambraccio
S53;Lussazione distorsione e distrazione di articolazioni e di legamenti del gomito
S54;Traumatismo di nervi a livello dell'avambraccio
S55;Traumatismo di vasi sanguigni a livello dell'avambraccio
S56;Traumatismo di muscoli e di tendini a livello dell'avambraccio
S57;Traumatismo da schiacciamento dell'avambraccio
S58;Amputazione traumatica del gomito e dell'avambraccio
S59;Altri e non specificati traumatismi dell'avambraccio
S60;Traumatismo superficiale del polso e della mano
S61;Ferita aperta del polso e della mano
S62;Frattura a livello del polso e della mano
S63;Lussazione distorsione e distrazione di articolazioni e di legamenti a livello del polso e della mano
S64;Traumatismo di nervi a livello del polso e della mano
S65;Traumatismo di vasi sanguigni a livello del polso e della mano
S66;Traumatismo di muscoli e di tendini a livello del polso e della mano
S67;Traumatismo da schiacciamento del polso e della mano
S68;Amputazione traumatica del polso e della mano
S69;Altri e non specificati traumatismi del polso e della mano
S70;Traumatismo superficiale dell'anca e della coscia
S71;Ferita aperta dell'anca e della coscia
S72;Frattura del femore
S73;Lussazione distorsione e distrazione dell'articolazione e di legamenti dell'anca
S74;Traumatismo di nervi a livello dell'anca e della coscia
S75;Traumatismo di vasi sanguigni a livello dell'anca e della coscia
S76;Traumatismo di muscoli e di tendini a livello dell'anca e della coscia
S77;Traumatismo da schiacciamento dell'anca e della coscia
S78;Amputazione traumatica dell'anca e della coscia
S79;Altri e non specificati traumatismi dell'anca e della coscia
S80;Traumatismo superficiale della gamba
S81;Ferita aperta della gamba
S82;Frattura della gamba compresa la caviglia
S83;Lussazione distorsione e distrazione di articolazioni e di legamenti del ginocchio
S84;Traumatismo di nervi a livello della gamba
S85;Traumatismo di vasi sanguigni a livello della gamba
S86;Traumatismo di muscoli e di tendini a livello della gamba
S87;Traumatismo da schiacciamento della gamba
S88;Amputazione traumatica della gamba
S89;Altri e non specificati traumatismi della gamba
S90;Traumatismo superficiale della caviglia e del piede
S91;Ferita aperta della caviglia e del piede
S92;Frattura del piede eccetto la caviglia
S93;Lussazione distorsione e distrazione di articolazioni e di legamenti a livello della caviglia e del piede
S94;Traumatismo di nervi a livello della caviglia e del piede
S95;Traumatismo di vasi sanguigni a livello della caviglia e del piede
S96;Traumatismo di muscoli e di tendini a livello della caviglia e del piede
S97;Traumatismo da schiacciamento della caviglia e del piede
S98;Amputazione traumatica della caviglia e del piede
S99;Altri e non specificati traumatismi della caviglia e del piede
T00;Traumatismi superficiali interessanti regioni corporee multiple
T01;Ferite aperte interessanti regiones corporee multiple
T02;Fratture interessanti regiones corporee multiple
T03;Lussazioni distorsioni e distrazioni interessanti regiones corporee multiple
T04;Traumatismi da schiacciamento interessanti regiones corporee multiple
T05;Amputazioni traumatiche interessanti regiones corporee multiple
T06;Altri traumatismi interessanti regiones corporee multiple non classificati altrove
T07;Traumatismi multipli non specificati
T08;Frattura della colonna vertebrale livello non specificato
T09;Altri traumatismi della colonna vertebrale e del tronco livello non specificato
T10;Frattura di arto superiore livello non specificato
T11;Altri traumatismi di arto superiore livello non specificato
T12;Frattura di arto inferiore livello non specificato
T13;Altri traumatismi di arto inferiore livello non specificato
T14;Traumatismo di regione corporea non specificata
T15;Corpo estraneo nella parte esterna dell'occhio
T16;Corpo estraneo nell'orecchio
T17;Corpo estraneo nelle vie respiratorie
T18;Corpo estraneo nell'apparato digerente
T19;Corpo estraneo nell'apparato genitourinario
T20;Ustione e corrosione della testa e del collo
T21;Ustione e corrosione del tronco
T22;Ustione e corrosione della spalla e dell'arto superiore tranne polso e mano
T23;Ustione e corrosione del polso e della mano
T24;Ustione e corrosione di anca e di arto inferiore tranne la caviglia e il piede
T25;Ustione e corrosione della caviglia e del piede
T26;Ustione e corrosione limitate all'occhio ed agli annessi oculari
T27;Ustione e corrosione delle vie respiratorie
T28;Ustione e corrosione di altri organi interni
T29;Ustioni e corrosioni di regiones corporee multiple
T30;Ustione e corrosione regione corporea non specificata
T31;Ustioni classificate secondo l'estensione della superficie corporea interessata
T32;Corrosioni classificate secondo l'estensione della superficie corporea interessata
T33;Congelamento superficiale
T34;Congelamento con necrosi tessutale
T35;Congelamento interessante regiones corporee multiple e congelamento non specificato
T36;Avvelenamento da antibiotici sistemici
T37;Avvelenamento da altri agenti anti-infettivi ed antiparassitari sistemici
T38;Avvelenamento da ormoni e loro sostitutivi sintetici ed antagonisti non classificati altrove
T39;Avvelenamento da analgesici non oppiacei antipiretici e antireumatici
T40;Avvelenamento da narcotici e psicodislettici [allucinogeni]
T41;Avvelenamento da anestetici e gas terapeutici
T42;Avvelenamento da farmaci antiepilettici sedativi-ipnotici e antiparkinsoniani
T43;Avvelenamento da farmaci psicotropi non classificati altrove
T44;Avvelenamento da farmaci agenti principalmente sul sistema nervoso autonomo
T45;Avvelenamento da agenti ad azione principalmente sistemica ed ematologici non classificati altrove
T46;Avvelenamento da farmaci agenti principalmente sul sistema cardiovascolare
T47;Avvelenamento da farmaci agenti principalmente sull'apparato gastrointestinale
T48;Avvelenamento da farmaci agenti principalmente sulla muscolatura liscia e striata e sull'apparato respiratorio
T49;Avvelenamento da sostanze ad uso topico agenti principalmente sulla cute e sulle mucose e da farmaci per uso oftalmologicootorinolaringologico ed odontoiatrico
T50;Avvelenamento da diuretici e altri e non specificati farmaci medicamenti e sostanze biologiche
T51;Effetto tossico dell'alcol
T52;Effetto tossico di solventi organici
T53;Effetto tossico di derivati alogenati degli idrocarburi allfatici e aromatici
T54;Effetto tossico di sostanze corrosive
T55;Effetto tossico di saponi e detergenti
T56;Effetto tossico di metalli
T57;Effetto tossico di altre sostanze inorganiche
T58;Effetto tossico del monossido di carbonio
T59;Effetto tossico di altri gas fumi e vapori
T60;Effetto tossico di pesticidi
T61;Effetto tossico di sostanze nocive ingerite con i prodotti ittici
T62;Effetto tossico di altre sostanze nocive ingerite come cibo
T63;Effetto tossico derivante da contatto con animali velenosi
T64;Effetto tossico dell'aflatossina e di altre micotossine contaminanti il cibo
T65;Effetto tossico di altre e non specificate sostanze
T66;Effetti non specificati delle radiazioni
T67;Effetti del calore e della luce
T68;Ipotermia
T69;Altri effetti di una bassa temperatura
T70;Effetti della pressione dell'aria e dell'acqua
T71;Asfissia
T73;Effetti di altra privazione
T74;Sindromi da maltrattamento
T75;Effetti di altre cause esterne
T78;Effetti avversi non classificati altrove
T79;Alcune complicanze precoci di traumatismi non classificate altrove
T80;Complicanze successive ad infusione trasfusione od iniezione a fini terapeutici
T81;Complicanze di procedure diagnostiche o terapeutiche non classificate altrove
T82;Complicanze di dispositivi protesici impianti ed innesti cardiaci e vascolari
T83;Complicanze di dispositivi protesici impianti ed innesti genitourinari
T84;Complicanze di dispositivi impianti ed innesti protesici interni ortopedici
T85;Complicanze di altri dispositivi protesici impianti ed innesti interni
T86;Insuccesso e rigetto di trapianto di organo o tessuto
T87;Complicanze peculiari di reimpianto ed amputazione
T88;Altre complicanze di cure chirurgiche e mediche non classificate altrove
T90;Sequele di traumatismi della testa
T91;Sequele di traumatismi del collo e del tronco
T92;Sequele di traumatismi di arto superiore
T93;Sequele di traumatismi di arto inferiore
T94;Sequele di traumatismi interessanti multiple e non specificate regiones corporee
T95;Sequele di ustioni corrosioni e congelamento
T96;Sequele di avvelenamento da farmaci medicamenti e sostanze biologiche
T97;Sequele di effetti tossici di sostanze principalmente di origine non medicamentosa
T98;Sequele di altri e non specificati effetti di cause esterne
V01;Pedone traumatizzato in scontro con ciclo a pedali
V02;Pedone traumatizzato in scontro con veicolo a motore a due o a tre ruote
V03;Pedone traumatizzato in scontro con auto furgoncino o furgone
V04;Pedone traumatizzato in scontro con veicolo da trasporto pesante o autobus
V05;Pedone traumatizzato in scontro con treno o veicolo ferroviario
V06;Pedone traumatizzato in scontro con altro veicolo non a motore
V09;Pedone traumatizzato in altri e non specificati accidenti da trasporto
V10;Ciclista traumatizzato in scontro con pedone o animale
V11;Ciclista traumatizzato in scontro con altro ciclo a pedali
V12;Ciclista traumatizzato in scontro con veicolo a motore a due o a tre ruote
V13;Ciclista traumatizzato in scontro con auto furgoncino o furgone
V14;Ciclista traumatizzato in scontro con veicolo da trasporto pesante o autobus
V15;Ciclista traumatizzato in scontro con treno o veicolo ferroviario
V16;Ciclista traumatizzato in scontro con altro veicolo non a motore
V17;Ciclista traumatizzato in scontro con oggetto fisso o fermo
V18;Ciclista traumatizzato in accidente da trasporto senza scontro
V19;Ciclista traumatizzato in altri e non specificati accidenti da trasporto
V20;Motociclista traumatizzato in scontro con pedone o animale
V21;Motociclista traumatizzato in scontro con ciclo a pedali
V22;Motociclista traumatizzato in scontro con veicolo a motore a due o a tre ruote
V23;Motociclista traumatizzato in scontro con auto furgoncino o furgone
V24;Motociclista traumatizzato in scontro con veicolo da trasporto pesante o autobus
V25;Motociclista traumatizzato in scontro con treno o veicolo ferroviario
V26;Motociclista traumatizzato in scontro con altro veicolo non a motore
V27;Motociclista traumatizzato in scontro con oggetto fisso o fermo
V28;Motociclista traumatizzato in accidente da trasporto senza scontro
V29;Motociclista traumatizzato in altri e non specificati accidenti da trasporto
V30;Occupante di veicolo a motore a tre ruote traumatizzato in scontro con pedone o animale
V31;Occupante di veicolo a motore a tre ruote traumatizzato in scontro con ciclo a pedali
V32;Occupante di veicolo a motore a tre ruote traumatizzato in scontro con altro veicolo a motore a due o a tre ruote
V33;Occupante di veicolo a motore a tre ruote traumatizzato in scontro con auto furgoncino o furgone
V34;Occupante di veicolo a motore a tre ruote traumatizzato in scontro con veicolo da trasporto pesante o autobus
V35;Occupante di veicolo a motore a tre ruote traumatizzato in scontro con treno o veicolo ferroviario
V36;Occupante di veicolo a motore a tre ruote traumatizzato in scontro con altro veicolo non a motore
V37;Occupante di veicolo a motore a tre ruote traumatizzato in scontro con oggetto fisso o fermo
V38;Occupante di veicolo a motore a tre ruote traumatizzato in accidente da trasporto senza scontro
V39;Occupante di veicolo a motore a tre ruote traumatizzato in altri e non specificati accidenti da trasporto
V40;Occupante di auto traumatizzato in scontro con pedone o animale
V41;Occupante di auto traumatizzato in scontro con ciclo a pedali
V42;Occupante di auto traumatizzato in scontro con veicolo a motore a due o a tre ruote
V43;Occupante di auto traumatizzato in scontro con auto furgoncino o furgone
V44;Occupante di auto traumatizzato in scontro con veicolo da trasporto pesante o autobus
V45;Occupante di auto traumatizzato in scontro con treno o veicolo ferroviario
V46;Occupante di auto traumatizzato in scontro con altro veicolo non a motore
V47;Occupante di auto traumatizzato in scontro con oggetto fisso o fermo
V48;Occupante di auto traumatizzato in accidente da trasporto senza scontro
V49;Occupante di auto traumatizzato in altri e non specificati accidenti da trasporto
V50;Occupante di furgoncino o furgone traumatizzato in scontro con pedone o animale
V51;Occupante di furgoncino o furgone traumatizzato in scontro con ciclo a pedali
V52;Occupante di furgoncino o furgone traumatizzato in scontro con veicolo a motore a due o a tre ruote
V53;Occupante di furgoncino o furgone traumatizzato in scontro con auto furgoncino o furgone
V54;Occupante di furgoncino o furgone traumatizzato in scontro con veicolo da trasporto pesante o autobus
V55;Occupante di furgoncino o furgone traumatizzato in scontro con treno o veicolo ferroviario
V56;Occupante di furgoncino o furgone traumatizzato in scontro con altro veicolo non a motore
V57;Occupante di furgoncino o furgone traumatizzato in scontro con oggetto fisso o fermo
V58;Occupante di furgoncino o furgone traumatizzato in accidente da trasporto senza scontro
V59;Occupante di furgoncino o furgone traumatizzato in altri e non specificati accidenti da trasporto
V60;Occupante di veicolo da trasporto pesante traumatizzato in scontro con pedone o animale
V61;Occupante di veicolo da trasporto pesante traumatizzato in scontro con ciclo a pedali
V62;Occupante di veicolo da trasporto pesante traumatizzato in scontro con veicolo a motore a due o a tre ruote
V63;Occupante di veicolo da trasporto pesante traumatizzato in scontro con auto furgoncino o furgone
V64;Occupante di veicolo da trasporto pesante traumatizzato in scontro con veicolo da trasporto pesante o autobus
V65;Occupante di veicolo da trasporto pesante traumatizzato in scontro con treno o veicolo ferroviario
V66;Occupante di veicolo da trasporto pesante traumatizzato in scontro con altro veicolo non a motore
V67;Occupante di veicolo da trasporto pesante traumatizzato in scontro con oggetto fisso o fermo
V68;Occupante di veicolo da trasporto pesante traumatizzato in accidente da trasporto senza scontro
V69;Occupante di veicolo da trasporto pesante traumatizzato in altri e non specificati accidenti da trasporto
V70;Occupante di autobus traumatizzato in scontro con pedone o animale
V71;Occupante di autobus traumatizzato in scontro con ciclo a pedali
V72;Occupante di autobus traumatizzato in scontro con veicolo a motore a due o a tre ruote
V73;Occupante di autobus traumatizzato in scontro con auto furgoncino o furgone
V74;Occupante di autobus traumatizzato in scontro con veicolo da trasporto pesante o autobus
V75;Occupante di autobus traumatizzato in scontro con treno o veicolo ferroviario
V76;Occupante di autobus traumatizzato in scontro con altro veicolo non a motore
V77;Occupante di autobus traumatizzato in scontro con oggetto fisso o fermo
V78;Occupante di autobus traumatizzato in accidente da trasporto senza scontro
V79;Occupante di autobus traumatizzato in altri e non specificati accidenti da trasporto
V80;Persona a cavallo di animale o occupante di veicolo a trazione animale traumatizzati in accidente da trasporto
V81;Occupante di treno o veicolo ferroviario traumatizzato in accidente da trasporto
V82;Occupante di tram traumatizzato in accidente da trasporto
V83;Occupante di veicolo speciale usato prevalentemente in ambienti industriali traumatizzato in accidente da trasporto
V84;Occupante di veicolo speciale usato prevalentemente in agricoltura traumatizzato in accidente da trasporto
V85;Occupante di veicolo speciale da costruzione traumatizzato in accidente da trasporto
V86;Occupante di veicolo speciale per tutti i terreni o di altro veicolo a motore destinati principalmente all'uso fuori-strada traumatizzato in accidente da trasporto
V87;Accidente di traffico di cui è noto il tipo di accidente ma non le modalità di trasporto della vittima
V88;Accidente non di traffico di cui è noto il tipo di accidente ma non le modalità di trasporto della vittima
V89;Accidente di veicolo a motore o non a motore tipo del veicolo non specificato
V90;Accidente ad imbarcazione causante annegamento e sommersione
V91;Accidente ad imbarcazione causa di altre lesioni
V92;Annegamento e sommersione associati a trasporto per acqua senza accidente all'imbarcazione
V93;Accidente a bordo di imbarcazione senza accidente all'imbarcazione non causante annegamento e sommersione
V94;Altri e non specificati accidenti da trasporto per acqua
V95;Accidente a mezzo aereo a motore causante traumatismo ad un occupante
V96;Accidente a mezzo aereo non a motore causante traumatismo ad occupante
V97;Altri accidenti specificati da trasporto aereo
V98;Altri accidenti da trasporto specificati
V99;Accidente da trasporto non specificato
W00;Caduta allo stesso livello interessante ghiaccio e neve
W01;Caduta allo stesso livello per sdrucciolamento passo falso o inciampamento
W02;Caduta interessante pattini da ghiaccio sci pattini a rotelle o skateboard [monopattino]
W03;Altra caduta allo stesso livello per scontro con o per spinta di un'altra persona
W04;Caduta durante trasporto o sostegno da parte di altre persone
W05;Caduta interessante sedia a rotelle
W06;Caduta interessante letto
W07;Caduta interessante sedia
W08;Caduta interessante altro mobile
W09;Caduta interessante attrezzi di terreno di gioco
W10;Caduta su e da scale e gradini
W11;Caduta su e da scale a pioli
W12;Caduta su e da impalcatura
W13;Caduta da o fuori da edificio o costruzione
W14;Caduta da albero
W15;Caduta da dirupo
W16;Tuffo o salto nell'acqua causante traumatismo diverso da annegamento o sommersione
W17;Altra caduta da un livello ad un altro
W18;Altra caduta allo stesso livello
W19;Caduta non specificata
W20;Colpo accidentale da oggetto lanciato proiettato o in caduta
W21;Urto contro o colpo ricevuto da attrezzi sportivi
W22;Urto contro o colpo ricevuto da altri oggetti
W23;Afferramento schiacciamento compressione o serramento in o tra oggetti
W24;Contatto con dispositivi di sollevamento e trasmissione non classificati altrove
W25;Contatto con vetro tagliente
W26;Contatto con coltello spada o pugnale
W27;Contatto con strumenti manuali non a motore
W28;Contatto con tagliaerba a motore
W29;Contatto con altri utensili manuali e apparecchi domestici a motore
W30;Contatto con macchine agricole
W31;Contatto con altro e non specificato macchinario
W32;Scarica di rivoltella
W33;Scarica di carabina fucile automatico ed armi da fuoco più grosse
W34;Scarica di altre e non specificate armi da fuoco
W35;Esplosione e rottura di scaldabagno
W36;Esplosione e rottura di bombola di gas
W37;Esplosione e rottura di pneumatico condotto o tubo flessibile pressurizzato
W38;Esplosione e rottura di altri dispositivi pressurizzati specificati
W39;Scarica di fuochi artificiali
W40;Esplosione di altri materiali
W41;Esposizione a getto ad alta pressione
W42;Esposizione a rumore
W43;Esposizione a vibrazione
W44;Corpo estraneo penetrante in o attraverso occhio o orifizio naturale
W45;Corpo estraneo od oggetto penetrante attraverso la cute
W49;Esposizione ad altre e non specificate forze meccaniche inanimate
W50;Colpo urto calcio torsione morso o graffio ricevuti da altra persona
W51;Urto contro o colpo ricevuto da un'altra persona
W52;Schiacciamento spinta o calpestamento da parte della folla o di gente in fuga
W53;Morso di ratto
W54;Morso o colpo ricevuto da cane
W55;Morso o colpo ricevuto da altri mammiferi
W56;Contatto con animale marino
W57;Morsi o punture di insetto e di altri artropodi non velenosi
W58;Morso o colpo ricevuto da coccodrillo od alligatore
W59;Morso o schiacciamento da altri rettili
W60;Contatto con piante spinose spine e foglie spinose
W64;Esposizione ad altre e non specificate forze meccaniche animate
W65;Annegamento e sommersione in vasca da bagno
W66;Annegamento e sommersione a seguito di caduta in vasca da bagno
W67;Annegamento e sommersione in piscina
W68;Annegamento e sommersione a seguito di caduta in piscina
W69;Annegamento e sommersione in acque naturali
W70;Annegamento e sommersione a seguito di caduta in acque naturali
W73;Altri tipi specificati di annegamento e sommersione
W74;Annegamento e sommersione non specificati
W75;Soffocamento e strangolamento accidentali nel letto
W76;Altri tipi di impiccagione e strangolamento accidentali
W77;Ostacolo alla respirazione da sotterramento smottamento di terra e altro materiale
W78;Inalazione di contenuti gastrici
W79;Inalazione ed ingestione di cibo causante ostruzione delle vie respiratorie
W80;Inalazione e ingestione di altri oggetti causanti ostruzione delle vie respiratorie
W81;Confinamento o intrappolamento in ambiente a basso tenore di ossigeno
W83;Altri ostacoli specificati alla respirazione
W84;Ostacolo non specificato alla respirazione
W85;Esposizione a elettrodotti
W86;Esposizione ad altra corrente elettrica specificata
W87;Esposizione a corrente elettrica non specificata
W88;Esposizione a radiazioni ionizzanti
W89;Esposizione a luce visibile ed ultravioletta artificiale
W90;Esposizione ad altre radiazioni non ionizzanti
W91;Esposizione a radiazione di tipo non specificato
W92;Esposizione a calore eccessivo di origine artificiale
W93;Esposizione a freddo eccessivo di origine artificiale
W94;Esposizione ad alta e bassa pressione e a variazioni della pressione barometrica
W99;Esposizione ad altri e non specificati fattori ambientali di origine artificiale
X00;Esposizione a fuoco incontrollato in edificio o costruzione
X01;Esposizione a fuoco incontrollato non in edificio o costruzione
X02;Esposizione a fuoco controllato in edificio o costruzione
X03;Esposizione a fuoco controllato non in edificio o costruzione
X04;Esposizione a accensione di materiale altamente infiammabile
X05;Esposizione a accensione o fusione di indumenti da notte
X06;Esposizione a accensione o fusione di altri indumenti e ornamenti
X08;Esposizione ad altro fumo fuoco e fiamme specificati
X09;Esposizione a fumo fuoco e fiamme non specificati
X10;Contatto con bevande cibo grassi e oli di cottura molto caldi
X11;Contatto con acqua di rubinetto molto calda
X12;Contatto con altri fluidi molto caldi
X13;Contatto con vapore e fumi molto caldi
X14;Contatto con aria e gas molto caldi
X15;Contatto con elettrodomestici roventi
X16;Contatto con caloriferi radiatori e tubi da riscaldamento
X17;Contatto con motori macchinari e strumenti roventi
X18;Contatto con altri metalli roventi
X19;Contatto con altri e non specificati calori e sostanze roventi
X20;Contatto con serpenti e lucertole velenosi
X21;Contatto con ragni velenosi
X22;Contatto con scorpioni
X23;Contatto con calabroni vespe e api
X24;Contatto con centopiedi e millepiedi velenosi (tropicali)
X25;Contatto con altri artropodi velenosi specificati
X26;Contatto con piante e animali marini velenosi
X27;Contatto con altri animali velenosi specificati
X28;Contatto con altre piante velenose specificate
X29;Contatto con pianta o animale velenosi non specificati
X30;Esposizione a calore naturale eccessivo
X31;Esposizione a freddo naturale eccessivo
X32;Esposizione alla luce del sole
X33;Vittima di folgorazione
X34;Vittima di terremoto
X35;Vittima di eruzione vulcanica
X36;Vittima di valanga frana ed altri movimenti terrestri
X37;Vittima di bufera cataclismica
X38;Vittima di inondazione
X39;Esposizione ad altre e non specificate forze della natura
X40;Avvelenamento accidentale da ed esposizione a analgesici non narcotici antipiretici e antireumatici
X41;Avvelenamento accidentale da ed esposizione ad antiepilettici sedativo-ipnotici farmaci antiparkinsoniani e psicotropi non classificati altrove
X42;Avvelenamento accidentale da ed esposizione a narcotici e psicodislettici [allucinogeni] non classificati altrove
X43;Avvelenamento accidentale da ed esposizione ad altri farmaci agenti sul sistema nervoso autonomo
X44;Avvelenamento accidentale da ed esposizione ad altri e non specificati farmaci medicamenti e sostanze biologiche
X45;Avvelenamento accidentale da ed esposizione ad alcol
X46;Avvelenamento accidentale da ed esposizione a solventi organici e idrocarburi alogenati e a loro vapori
X47;Avvelenamento accidentale da ed esposizione ad altri gas e vapori
X48;Avvelenamento accidentale da ed esposizione a pesticidi
X49;Avvelenamento accidentale da ed esposizione ad altre e non specificate sostanze chimiche e nocive
X50;Sforzo fisico eccessivo e movimenti violenti o ripetitivi
X51;Viaggio e movimento
X52;Permanenza prolungata in ambiente privo di gravità
X53;Mancanza di cibo
X54;Mancanza di acqua
X57;Privazione non specificata
X58;Esposizione ad altri fattori specificati
X59;Esposizione a fattore non specificato
X60;Auto-avvelenamento intenzionale da ed esposizione a analgesici non oppiacei antipiretici e antireumatici
X61;Auto-avvelenamento intenzionale da ed esposizione a antiepilettici sedativo-ipnotici farmaci antiparkinsoniani e psicotropi non classificati altrove
X62;Auto-avvelenamento intenzionale da ed esposizione a narcotici e psicodislettici [allucinogeni] non classificati altrove
X63;Auto-avvelenamento intenzionale da ed esposizione a altri farmaci agenti sul sistema nervoso autonomo
X64;Auto-avvelenamento intenzionale da ed esposizione a altri e non specificati farmaci medicamenti e sostanze biologiche
X65;Auto-avvelenamento da ed esposizione intenzionale ad alcol
X66;Auto-avvelenamento da ed esposizione intenzionale a solventi organici e idrocarburi alogenati e a loro vapori
X67;Auto-avvelenamento intenzionale da ed esposizione ad altri gas e vapori
X68;Auto-avvelenamento intenzionale da ed esposizione a pesticidi
X69;Auto-avvelenamento intenzionale da ed esposizione ad altre e non specificate sostanze chimiche e nocive
X70;Autolesione intenzionale da impiccagione strangolamento e soffocamento
X71;Autolesione intenzionale da annegamento e sommersione
X72;Autolesione intenzionale da scarica di pistola
X73;Autolesione intenzionale da scarica di carabina fucile automatico ed armi più grosse
X74;Autolesione intenzionale da scarica di altra e non specificata arma da fuoco
X75;Autolesione intenzionale da materiale esplosivo
X76;Autolesione intenzionale da fumo fuoco e fiamme
X77;Autolesione intenzionale da vapore(i) e oggetti molto caldi
X78;Autolesione intenzionale da oggetto appuntito
X79;Autolesione intenzionale da corpo contundente
X80;Autolesione intenzionale da salto da luogo elevato
X81;Autolesione intenzionale procurata saltando o posizionandosi davanti ad un oggetto in movimento
X82;Autolesione intenzionale da incidente di veicolo a motore
X83;Autolesione intenzionale da altri mezzi specificati
X84;Autolesione intenzionale da mezzo non specificato
X85;Aggressione mediante farmaci medicamenti e sostanze biologiche
X86;Aggressione mediante sostanza corrosiva
X87;Aggressione mediante pesticidi
X88;Aggressione mediante gas e vapori
X89;Aggressione mediante altre sostanze chimiche e nocive specificate
X90;Aggressione mediante sostanza chimica o nociva non specificata
X91;Aggressione mediante impiccagione strangolamento e soffocamento
X92;Aggressione mediante annegamento e sommersione
X93;Aggressione mediante scarica di pistola
X94;Aggressione mediante scarica di carabina fucile automatico ed armi più grosse
X95;Aggressione mediante scarica di altra e non specificata arma da fuoco
X96;Aggressione mediante materiale esplosivo
X97;Aggressione mediante fumo fuoco e fiamme
X98;Aggressione mediante vapore(i) ed oggetti molto caldi
X99;Aggressione mediante oggetto appuntito
Y00;Aggressione mediante corpo contundente
Y01;Aggressione mediante spinta da luogo elevato
Y02;Aggressione mediante spinta o posizionamento della vittima davanti ad oggetto in movimento
Y03;Aggressione mediante incidente di veicolo a motore
Y04;Aggressione con uso della forza corporea
Y05;Aggressione sessuale con uso della forza corporea
Y06;Trascuratezza e abbandono
Y07;Altre sindromi da maltrattamento
Y08;Aggressione mediante altri mezzi specificati
Y09;Aggressione mediante mezzi non specificati
